Designator,Mid X,Mid Y,Rotation,Layer
C1,184.45,-86.85,0.0,top
C12,171.9,-81.3,270.0,top
C2,184.4,-79.04,0.0,top
C21,167.965,-71.8,90.0,top
C22,178.625,-86.6,0.0,top
C23,161.5,-74.1,180.0,top
C24,175.575,-66.575,270.0,top
C3,169.9,-82.75,90.0,top
C5,188.5,-73.45,270.0,top
C9,186.2625,-69.9,180.0,top
D1,159.75,-89.25,180.0,top
D2,156.8,-68.9625,90.0,top
D3,181.0,-93.0625,90.0,top
D4,183.5,-93.0625,270.0,top
F1,160.25,-93.25,180.0,top
J1,171.0,-92.1,180.0,top
J2,178.725,-69.245,0.0,top
J3,171.0,-59.5,0.0,top
Q1,178.8,-83.25,90.0,top
Q2,183.7625,-67.4,180.0,top
R1,164.5,-68.0,90.0,top
R10,175.625,-71.275,90.0,top
R11,181.05,-89.8125,270.0,top
R12,183.5,-89.8125,270.0,top
R13,180.5,-59.5,0.0,top
R2,170.6875,-86.1,0.0,top
R3,169.9,-79.7,90.0,top
R4,170.6,-77.4,0.0,top
R5,156.8,-65.7,270.0,top
R6,183.2625,-69.9,180.0,top
R7,186.5125,-67.65,90.0,top
R8,176.05,-84.1,270.0,top
R9,159.5,-70.0375,0.0,top
SW1,153.5,-69.7,90.0,top
U1,185.25,-83.1,0.0,top
U2,184.99,-74.85,270.0,top
U3,160.6,-81.775,180.0,top
U5,159.8,-67.15,90.0,top
U6,171.695,-69.795,270.0,top
